kicked-to-yd,returned-to-yd,count
50,30,1.0
50,40,1.0
50,50,1.0
52,18,1.0
52,28,1.0
52,50,1.0
52,52,2.0
54,30,1.0
54,54,2.0
56,16,1.0
56,40,1.0
56,46,1.0
56,56,4.0
58,0,1.0
58,8,1.0
58,48,1.0
58,50,1.0
58,58,1.0
58,64,1.0
60,6,1.0
60,16,1.0
60,24,2.0
60,28,1.0
60,42,1.0
60,48,2.0
60,50,2.0
60,52,1.0
60,56,1.0
60,58,2.0
60,60,6.0
60,62,1.0
62,2,1.0
62,24,1.0
62,28,1.0
62,30,1.0
62,38,1.0
62,48,2.0
62,52,2.0
62,58,2.0
62,62,3.0
62,68,1.0
64,2,1.0
64,4,1.0
64,10,1.0
64,12,1.0
64,14,1.0
64,18,1.0
64,22,1.0
64,24,1.0
64,28,1.0
64,30,1.0
64,36,1.0
64,40,1.0
64,46,1.0
64,50,1.0
64,52,3.0
64,54,2.0
64,56,3.0
64,58,1.0
64,62,7.0
64,64,9.0
64,70,1.0
66,2,2.0
66,4,1.0
66,6,1.0
66,12,1.0
66,16,1.0
66,18,1.0
66,20,1.0
66,22,1.0
66,24,2.0
66,34,1.0
66,36,1.0
66,42,1.0
66,46,1.0
66,50,1.0
66,52,2.0
66,54,5.0
66,56,6.0
66,58,5.0
66,60,6.0
66,62,1.0
66,64,3.0
66,66,10.0
66,68,1.0
68,4,1.0
68,10,1.0
68,12,2.0
68,20,1.0
68,28,2.0
68,30,1.0
68,32,1.0
68,46,1.0
68,48,2.0
68,52,5.0
68,54,4.0
68,56,1.0
68,58,6.0
68,60,9.0
68,62,9.0
68,64,6.0
68,66,3.0
68,68,9.0
68,70,1.0
68,72,1.0
68,78,1.0
68,90,1.0
70,2,2.0
70,8,1.0
70,12,1.0
70,14,2.0
70,20,3.0
70,22,1.0
70,30,1.0
70,34,1.0
70,36,1.0
70,38,1.0
70,44,1.0
70,50,6.0
70,52,1.0
70,54,3.0
70,56,6.0
70,58,9.0
70,60,17.0
70,62,10.0
70,64,6.0
70,66,11.0
70,68,5.0
70,70,16.0
70,72,1.0
70,76,3.0
70,78,1.0
70,80,1.0
70,84,1.0
70,88,1.0
70,92,1.0
72,4,2.0
72,8,1.0
72,12,1.0
72,16,2.0
72,18,1.0
72,22,3.0
72,24,1.0
72,28,1.0
72,30,1.0
72,32,1.0
72,36,1.0
72,38,2.0
72,40,2.0
72,42,2.0
72,46,3.0
72,50,3.0
72,52,3.0
72,54,5.0
72,56,6.0
72,58,10.0
72,60,17.0
72,62,13.0
72,64,13.0
72,66,8.0
72,68,7.0
72,70,10.0
72,72,23.0
72,74,2.0
72,78,1.0
72,80,1.0
74,0,1.0
74,2,1.0
74,10,1.0
74,12,2.0
74,14,2.0
74,16,1.0
74,18,2.0
74,20,1.0
74,22,1.0
74,24,3.0
74,26,1.0
74,34,1.0
74,36,1.0
74,38,1.0
74,46,1.0
74,48,1.0
74,50,1.0
74,52,3.0
74,54,6.0
74,56,10.0
74,58,9.0
74,60,13.0
74,62,18.0
74,64,20.0
